"Дата";Наименование услуг;"Количество рабочих часов"
"1.2.2023";"SBI-804: Актуальность версии файла,
Обсуждение деталей реализации,
Обсуждение авторизации по СМС,
SBI-787 Реализовать логирование штампов,
Scrum-мероприятия,
";"4.2"
"2.2.2023";"SBI-823: Идентификация пользователя по email,
SBI-804: Актуальность версии файла,
Встреча: Данные и форматы для API,
Кодревью,
Scrum-мероприятия,
";"4.73"
"3.2.2023";"Исправление багов, рефакторинг,
SBI-803: Уведомления об ошибках по штампам,
Обсуждение деталей реализации,
Scrum-мероприятия,
";"6.72"
"6.2.2023";"Исправление багов, рефакторинг,
Scrum-мероприятия,
SBI-784: Подключение/отключение проектов к системе простановки штампов ВПР и qr-кодов,
SBI-803: Уведомления об ошибках по штампам,
";"6.9"
"7.2.2023";"Кодревью,
Рефакторинг,
Собеседование,
Подготовка описания задач,
Scrum-мероприятия,
";"5"
"8.2.2023";"Настройка тестовой среды для штампов,
Рефакторинг,
Обсуждение деталей реализации,
Scrum-мероприятия,
";"6.63"
"9.2.2023";"Рефакторинг,
Обсуждение деталей реализации,
Кодревью,
Scrum-мероприятия,
";"3.82"
"10.2.2023";"Собеседование,
Обсуждение результатов по внесению факта,
Инструктаж по разработке API,
SBI-803 Уведомления об ошибках по штампам,
Обсуждение деталей реализации,
Scrum-мероприятия,
SBI-911 исправление верстки штампа,
";"7.38"
"14.2.2023";"Кодревью,
Встреча по ЛК,
Собеседование,
Обсуждение ЛК,
Обсуждение деталей реализации,
Scrum-мероприятия,
";"6.08"
"15.2.2023";"SBI-837 Реализовать связь датагрида и вьювера,
Актуализация задач, ретроспектива,
Подготовка к передаче в тестирование,
Рефакторинг, обсуждение проблем,
Проверка тестового задания,
Scrum-мероприятия,
Кодревью,
";"6.23"
"16.2.2023";"SBI-837 Реализовать связь датагрида и вьювера,
Обсуждение авторизации для ЛК,
Передача в тестирование факта,
Scrum-мероприятия,
";"6"
"17.2.2023";"SBI-837 Реализовать связь датагрида и вьювера,
Scrum-мероприятия,
";"5.05"
"18.2.2023";"SBI-837 Реализовать связь датагрида и вьювера,
";"2.3"
"19.2.2023";"SBI-837 Реализовать связь датагрида и вьювера,
";"1"
"20.2.2023";"Scrum-мероприятия,
Проработка архитектуры проекта,
SBI-834 Сделать цветовое выделение элементов модели,
";"9.42"
"21.2.2023";"Обсуждение деталей реализации,
Кодревью,
SBI-976 Отображение элемента модели во вьювере,
SBI-973 Внести корректировки в запросы в связи с изменениями в БД,
SBI-834 Сделать цветовое выделение элементов модели,
Scrum-мероприятия,
";"5.18"
"22.2.2023";"Обсуждение деталей реализации,
SBI-854 [Авторизация] Реализовать интерфейс (капча включительно),
Просмотр вакансий,
Обсуждение ЛК,
Scrum-мероприятия,
";"4.05"
"23.2.2023";"SBI-854 [Авторизация] Реализовать интерфейс (капча включительно),
";"0.58"
"24.2.2023";"SBI-854 [Авторизация] Реализовать интерфейс (капча включительно),
";"6.02"
"27.2.2023";"SBI-854 [Авторизация] Реализовать интерфейс (капча включительно),
";"1.32"
"Итого";"";"98.610001"

